OBJECTID_1	OBJECTID	Shape_Leng	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_12	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12_13	OBJECTID_12_13_14	Shape_Leng_1	ORIG_FID_1	RASTERVALU	X	Y
72	72	26.28549448	72	8.367000209	26.28548465	54.98220007	41	2	72	772196.0509	41	72	76	97.79378091	72	-1931	-5935570.5	1023692.625
73	73	24.18859034	73	9.236820373	29.01826303	67.00897299	69	2	73	772299.0407	69	73	77	35.96358051	73	-1931	-5935591.5	1023876.188
74	74	22.98290409	74	8.289472628	26.0422323	53.96927115	88	2	74	772360.3657	88	74	78	44.39827306	74	-1931	-5935651	1023889.688
75	75	27.36912817	75	9.934267726	31.2095239	77.51119331	150	2	75	772443.7378	150	75	79	67.09678844	75	-1931	-5935700	1023999.188
76	76	72.24722601	76	28.98981449	91.07445686	660.0598492	60	2	76	772265.7601	60	76	80	32.51285498	76	-1949	-5935518	1023976.188
77	77	17.03128906	77	5.421324084	17.03142082	23.08298108	26	2	77	772149.9599	26	77	81	20.01829147	77	-1949	-5935422	1023907.813
78	78	13.29953773	78	4.23347825	13.30007247	14.07661234	42	2	78	772198.5093	42	78	82	21.67543189	78	-1949	-5935509	1023811.75
79	79	13.3654824	79	4.254438797	13.36559179	14.21564342	38	2	79	772189.6638	38	79	83	16.37271762	79	-1949	-5935479.5	1023863.375
80	80	17.92236298	80	6.943426849	21.81333444	37.86467659	33	2	80	772159.363	33	80	84	59.59297717	80	-1949	-5935395.5	1024021.063
81	81	28.21213928	81	8.980229775	28.21213035	63.33764324	31	2	81	772155.1656	31	81	85	63.30363697	81	-1949	-5935405	1023986.125
82	82	56.81494257	82	18.08484314	56.8149393	256.8710909	27	2	82	772150.2423	27	82	86	50.56103117	82	-1955	-5935363	1024077.125
83	83	42.02575561	83	17.77005761	55.82641561	248.010247	123	2	83	772410.7072	123	83	87	26.65047928	83	-1931	-5935651.5	1024018.375
84	84	25.15313631	84	9.588704782	30.12410364	72.21350124	140	2	84	772431.6686	140	84	88	35.2091825	84	-1931	-5935673	1024023.438
85	85	7.434909448	85	2.36670567	7.435521492	4.399598067	111	2	85	772388.5895	111	85	89	35.07226271	85	-1931	-5935639.5	1023996.188
86	86	15.32695917	86	4.878799935	15.32698598	18.69406103	192	2	86	772506.8408	192	86	90	82.78952645	86	-1928	-5935728	1024109.438
87	87	45.16211262	87	14.37560144	45.16227895	162.3087129	64	2	87	772282.6177	64	87	91	15.68353347	87	-1949	-5935537	1023965.188
88	88	40.20853737	88	12.79886743	40.20858116	128.6552855	66	2	88	772289.5781	66	88	92	20.59066927	88	-1955	-5935488.5	1024113.625
